"","P","Alder","B.Ar","EL.Kar","O.Karak_num","BLEnergikWh","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"3789",3498000,0,2019,5,1,123.56,1,"Fritt salg","Blokkleilighet",1,"1464.4",0,0,0,0,0,0,0,10,"937.0","0.0","937.0","463.0",0,2,2,"60.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-01,"4601/187/481/7","4601","187","481","7",300599104,"Spondalen 23","spondalen",23,NA,"H0204","5121","Boligblokker",752720,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6742448.28","-32266.27"
"3790",4098000,0,2019,5,1,123.56,1,"Fritt salg","Blokkleilighet",1,"1464.4",0,0,0,0,0,0,0,10,"937.0","0.0","937.0","463.0",0,1,3,"83.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-09-06,"4601/187/481/1","4601","187","481","1",300599104,"Spondalen 23","spondalen",23,NA,"H0204","5121","Boligblokker",1041376,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6742448.28","-32266.27"
"3791",2698000,0,2019,5,1,123.56,1,"Fritt salg","Blokkleilighet",1,"1464.4",0,0,0,0,0,0,0,10,"937.0","0.0","937.0","463.0",0,1,4,"50.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-04,"4601/187/481/5","4601","187","481","5",300599104,"Spondalen 23","spondalen",23,NA,"H0204","5121","Boligblokker",776349,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6742448.28","-32266.27"
"3792",4200000,87,1932,1,3,325.83,4,"Fritt salg","Rekkehus/kjede",1,"232.4",0,0,0,0,0,0,0,1,"176.0","0.0","176.0","60.0",0,1,1,"176.0",6,3,3,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-09-06,"4601/163/395/NA","4601","163","395","NA",139272714,"Stemmeveien 38","stemmeveien",38,NA,"H0101","5009","Småhus",1044262,"Rekkehus","Bolig","Bolig","6732952.84","-29931.56"
"3794",2615000,11,2008,5,1,120.88,4,"Fritt salg","Blokkleilighet",1,"1511.8",0,0,0,0,0,0,0,12,"1140.0","0.0","1140.0","1.0",0,1,2,"73.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-01-16,"4601/10/833/3","4601","10","833","3",25597516,"Nye Sædalsveien 157","nye sædalsveien",155,NA,"H0201","5099","Boligblokker",69632,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6728324.94","-29471.11"
"3813",2350000,14,2005,5,1,113.67,4,"Fritt salg","Blokkleilighet",2,"5754.5",1,0,0,0,0,0,0,18,"1411.0","0.0","1411.0","765.0",0,1,1,"61.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-05,"4624/61/201/5","4624","61","201","5",300393796,"Storestraumen 185","storestraumen",183,NA,NA,"5212","Boligblokker",634180,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6714893.3","-27524.93"
"3816",2840000,14,2005,5,1,113.67,4,"Fritt salg","Blokkleilighet",1,"5754.5",1,0,0,0,0,0,0,18,"1411.0","0.0","1411.0","765.0",0,1,1,"84.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-12-04,"4624/61/201/6","4624","61","201","6",300393796,"Storestraumen 185","storestraumen",181,NA,NA,"5212","Boligblokker",1452138,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6714893.3","-27524.93"
"3823",3230000,14,2005,5,1,113.67,4,"Fritt salg","Blokkleilighet",2,"5754.5",1,0,0,0,0,0,0,18,"1411.0","0.0","1411.0","765.0",0,3,2,"85.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-12-16,"4624/61/201/17","4624","61","201","17",300393796,"Storestraumen 185","storestraumen",185,NA,NA,"5212","Boligblokker",1507819,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6714893.3","-27524.93"
"3824",2525000,14,2005,5,1,113.67,4,"Fritt salg","Blokkleilighet",1,"5754.5",1,0,0,0,0,0,0,18,"1411.0","0.0","1411.0","765.0",0,2,1,"65.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-26,"4624/61/201/10","4624","61","201","10",300393796,"Storestraumen 185","storestraumen",185,NA,NA,"5212","Boligblokker",733591,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6714893.3","-27524.93"
"3846",3e+06,3,2016,4,5,145.91,1,"Fritt salg","Blokkleilighet",1,"3905.9",0,0,0,0,0,0,0,15,"1250.0","0.0","1250.0","400.0",0,1,3,"55.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-08,"4601/116/264/29","4601","116","264","29",300427506,"Sandsliåsen 47","sandsliåsen",47,NA,"U0104","5254","Boligblokker",916290,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6723873.53","-35444.05"
"3854",3450000,3,2016,4,5,145.91,1,"Fritt salg","Blokkleilighet",1,"3905.9",0,0,0,0,0,0,0,15,"1250.0","0.0","1250.0","400.0",0,2,4,"75.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-12-05,"4601/116/264/34","4601","116","264","34",300427506,"Sandsliåsen 47","sandsliåsen",47,NA,"U0104","5254","Boligblokker",1461221,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6723873.53","-35444.05"
"3860",1950000,5,2014,4,2,145.07,4,"Fritt salg","Blokkleilighet",1,"6735.7",0,0,0,0,0,0,0,16,"1394.0","0.0","1394.0","704.0",0,2,1,"59.0",2,1,1,0,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-01-08,"4624/34/647/24","4624","34","647","24",300326969,"Skeisbotnen 60 C","skeisbotnen",66,"C","H0201","5217","Boligblokker",27623,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6709448.6","-31085.75"
"3867",2870000,5,2014,4,2,145.07,4,"Fritt salg","Uoppgitt",1,"6735.7",0,0,0,0,0,0,0,16,"1394.0","0.0","1394.0","704.0",0,1,1,"95.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-09-18,"4624/34/647/12","4624","34","647","12",300326969,"Skeisbotnen 60 C","skeisbotnen",62,"A","H0201","5217","Boligblokker",1094595,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6709448.6","-31085.75"
"3870",2620000,5,2014,4,2,145.07,4,"Fritt salg","Blokkleilighet",1,"6735.7",0,0,0,0,0,0,0,16,"1394.0","0.0","1394.0","704.0",0,2,1,"95.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-01-18,"4624/34/647/21","4624","34","647","21",300326969,"Skeisbotnen 60 C","skeisbotnen",64,"D","H0201","5217","Boligblokker",80702,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6709448.6","-31085.75"
"3876",4350000,51,1968,2,3,280.73,4,"Fritt salg","Frittliggende enebolig",1,"726.2",0,0,0,0,0,0,0,1,"156.0","0.0","156.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-11,"4601/182/206/NA","4601","182","206","NA",139645014,"Saudalskleivane 26","saudalskleivane",26,NA,"H0101","5136","Småhus",657728,"Enebolig","Bolig","Bolig","6744698.14","-33976.1"
"3897",6500000,0,2020,6,1,117.42,4,"Fritt salg","Frittliggende enebolig",2,"974.8",0,0,0,0,0,0,0,1,"96.0","0.0","96.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q3",2019-09-18,"4601/36/24/NA","4601","36","24","NA",139450361,"Nordeidstraumen 34","nordeidstraumen",34,NA,"H0101","5251","Småhus",1090242,"Enebolig","Bolig","Bolig","6726899.06","-35808.03"
"3916",2050000,119,1900,1,1,546.9,4,"Fritt salg","Blokkleilighet",1,"231.3",0,0,0,0,0,0,0,5,"399.0","0.0","399.0","0.0",0,1,1,"53.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-03-20,"4601/167/8/3","4601","167","8","3",139309219,"Øvre Sandviksveien 10","øvre sandviksveien",10,NA,"H0201","5034","Småhus",335300,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6735443.45","-31677.1"
"3937",6200000,0,2019,5,2,132.99,4,"Fritt salg","Frittliggende enebolig",1,"1146.2",0,0,0,0,0,0,0,1,"142.0","0.0","142.0","92.0",0,1,1,"142.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-10-23,"4601/186/1339/2","4601","186","1339","2",300727300,"Storevarden 42 B","storevarden",42,"B","H0101","5114","Småhus",1254995,"Enebolig","Bolig","Bolig","6742038.99","-33460.46"
"3939",7650000,0,2019,6,2,116.44,4,"Fritt salg","Frittliggende enebolig",1,"462.1",0,0,0,0,0,0,0,1,"163.0","0.0","163.0","183.0",0,1,1,"163.0",5,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-14,"4601/88/222/NA","4601","88","222","NA",300654517,"Nøttveitvegen 198","nøttveitvegen",198,NA,"H0101","5238","Småhus",676821,"Enebolig","Bolig","Bolig","6722702.34","-32531.38"
"3958",3750000,43,1976,2,1,219.77,2,"Fritt salg","Blokkleilighet",1,"175.1",0,0,0,0,1,0,0,10,"625.0","0.0","625.0","0.0",0,3,1,"64.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-06,"4601/167/663/7","4601","167","663","7",139315359,"Hans Hauges gate 1 B","hans hauges gate",1,"B","H0401","5033","Boligblokker",901340,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6735231.55","-31793.18"
"3959",5500000,5,2014,5,5,109.33,1,"Fritt salg","Blokkleilighet",1,"1167.9",0,0,0,0,0,0,0,24,"3224.0","0.0","3224.0","710.0",0,5,2,"102.0",4,2,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-01-07,"4601/168/2112/17","4601","168","2112","17",300266173,"Nyhavn 10 B","nyhavn",10,"A","H0502","5042","Boligblokker",25823,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6737152.67","-32594.93"
"3967",6350000,5,2014,5,5,109.33,1,"Fritt salg","Blokkleilighet",1,"1167.9",0,0,0,0,0,0,0,24,"3224.0","0.0","3224.0","710.0",0,6,2,"84.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-28,"4601/168/2112/23","4601","168","2112","23",300266173,"Nyhavn 10 B","nyhavn",10,"B","H0502","5042","Boligblokker",995396,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6737152.67","-32594.93"
"3969",2800000,5,2014,5,5,109.33,1,"Fritt salg","Blokkleilighet",1,"1167.9",0,0,0,0,0,0,0,24,"3224.0","0.0","3224.0","710.0",0,1,1,"40.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-08-06,"4601/168/2112/1","4601","168","2112","1",300266173,"Nyhavn 10 B","nyhavn",10,"A","H0502","5042","Boligblokker",899319,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6737152.67","-32594.93"
"3980",4900000,5,2014,5,5,109.33,1,"Fritt salg","Blokkleilighet",1,"1167.9",0,0,0,0,0,0,0,24,"3224.0","0.0","3224.0","710.0",0,3,3,"86.0",4,1,1,0,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-24,"4601/168/2112/7","4601","168","2112","7",300266173,"Nyhavn 10 B","nyhavn",10,"A","H0502","5042","Boligblokker",858169,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6737152.67","-32594.93"
"3981",5915000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,7,3,"96.0",3,2,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-20,"4601/116/273/30","4601","116","273","30",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",701419,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"3982",4390000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,2,5,"103.0",4,2,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-24,"4601/116/273/11","4601","116","273","11",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",714926,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"3984",6715000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,6,4,"113.0",4,2,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-20,"4601/116/273/27","4601","116","273","27",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",701657,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"3986",2690000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,2,4,"56.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-20,"4601/116/273/10","4601","116","273","10",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",701745,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"3987",5015000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,4,3,"103.0",4,2,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-21,"4601/116/273/18","4601","116","273","18",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",711939,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"3989",3490000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,3,2,"71.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-24,"4601/116/273/13","4601","116","273","13",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",714973,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"3990",3115000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,2,1,"63.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-20,"4601/116/273/7","4601","116","273","7",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",701056,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"3991",2390000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,2,3,"45.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-24,"4601/116/273/9","4601","116","273","9",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",714837,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"3994",3590000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,4,2,"71.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-28,"4601/116/273/17","4601","116","273","17",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",743570,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"3996",3215000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,1,5,"64.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-25,"4601/116/273/5","4601","116","273","5",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",721609,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"3998",2715000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,1,1,"52.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-25,"4601/116/273/1","4601","116","273","1",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",721878,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"3999",3415000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,5,1,"63.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-21,"4601/116/273/20","4601","116","273","20",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",712686,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"4000",5115000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,5,3,"103.0",4,2,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-28,"4601/116/273/22","4601","116","273","22",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",746070,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"4002",5515000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,6,3,"96.0",3,2,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-20,"4601/116/273/26","4601","116","273","26",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",701269,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"4004",7465000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,7,4,"113.0",4,2,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-20,"4601/116/273/31","4601","116","273","31",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",701485,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"4006",5215000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,5,4,"105.0",4,2,2,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-21,"4601/116/273/23","4601","116","273","23",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",711622,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"4008",2290000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,1,2,"45.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-25,"4601/116/273/2","4601","116","273","2",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",721804,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"4011",4300000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,7,2,"71.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-12-16,"4601/116/273/29","4601","116","273","29",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",1507506,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"4014",4015000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,5,2,"71.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-21,"4601/116/273/21","4601","116","273","21",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",711774,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"4016",2915000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,1,6,"63.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-25,"4601/116/273/6","4601","116","273","6",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",721945,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"4017",1990000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,1,4,"35.0",2,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-25,"4601/116/273/4","4601","116","273","4",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",721665,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"4018",4902500,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,3,4,"105.0",4,2,2,0,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-24,"4601/116/273/15","4601","116","273","15",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",715295,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"4019",4015000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,6,2,"71.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-20,"4601/116/273/25","4601","116","273","25",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",701195,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
"4020",3515000,0,2019,4,5,181.06,1,"Fritt salg","Blokkleilighet",1,"6581.3",0,0,0,0,0,0,0,31,"2741.0","0.0","2741.0","478.0",0,6,1,"63.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-06-20,"4601/116/273/24","4601","116","273","24",300653401,"Sandslimarka 261","sandslimarka",261,NA,"H0104","5254","Boligblokker",701549,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6724029.18","-35962.27"
